,lineItem/UsageType,lineItem/LineItemDescription,product/ProductName,lineItem/UnblendedCost,lineItem/UnblendedRate,lineItem/UsageAmount
56,APS2-BoxUsage:m4.large,$0.125 per On Demand Linux m4.large Instance Hour,Amazon Elastic Compute Cloud,465.249548625,0.125,3721.996389
57,APS2-BoxUsage:m4.xlarge,$0.06 per hour for EMR m4.xlarge,Amazon Elastic MapReduce,347.8977702000042,0.060000000000000726,5798.29617
58,APS2-BoxUsage:m4.xlarge,$0.25 per On Demand Linux m4.xlarge Instance Hour,Amazon Elastic Compute Cloud,1449.09513925,0.25,5796.380557
59,APS2-BoxUsage:m4.xlarge,$0.434 per On Demand Windows m4.xlarge Instance Hour,Amazon Elastic Compute Cloud,322.89599999999876,0.43399999999999833,744.0
60,APS2-BoxUsage:r4.4xlarge,$1.2768 per On Demand Linux r4.4xlarge Instance Hour,Amazon Elastic Compute Cloud,949.9391999998006,1.276799999999732,744.0
61,APS2-BoxUsage:r4.xlarge,$0.067 per hour for EMR r4.xlarge,Amazon Elastic MapReduce,323.67520875499315,0.06699999999999857,4830.9732650000005
62,APS2-BoxUsage:r4.xlarge,$0.3192 per On Demand Linux r4.xlarge Instance Hour,Amazon Elastic Compute Cloud,40.82470452499997,0.3192000000015636,127.89694399999998
63,APS2-BoxUsage:r4.xlarge,$0.5032 per On Demand Windows r4.xlarge Instance Hour,Amazon Elastic Compute Cloud,374.3808000000022,0.503200000000003,744.0
64,APS2-BoxUsage:t2.2xlarge,$0.5292 per On Demand Windows t2.2xlarge Instance Hour,Amazon Elastic Compute Cloud,393.7248000000015,0.529200000000002,744.0
65,APS2-BoxUsage:t2.large,$0.1168 per On Demand Linux t2.large Instance Hour,Amazon Elastic Compute Cloud,30.661038118399933,0.11679999999999974,262.508888
66,APS2-BoxUsage:t2.medium,$0.0584 per On Demand Linux t2.medium Instance Hour,Amazon Elastic Compute Cloud,695.1351999996344,0.05839999999996929,11903.0
67,APS2-BoxUsage:t2.micro,$0.0146 per On Demand Linux t2.micro Instance Hour,Amazon Elastic Compute Cloud,184.63151077941342,0.01460000000000106,12645.993889000001
68,APS2-BoxUsage:t2.small,$0.0292 per On Demand Linux t2.small Instance Hour,Amazon Elastic Compute Cloud,43.44960000000015,0.029200000000000104,1488.0
69,APS2-BoxUsage:t3.large,$0.1056 per On Demand Linux t3.large Instance Hour,Amazon Elastic Compute Cloud,0.192984,0.1056,1.8275
70,APS2-CAN1-AWS-In-Bytes,$0.00 per GB - Asia Pacific (Sydney) data transfer from Canada (Central),Amazon Elastic Compute Cloud,0.0,0.0,1.5236399999999997e-05
71,APS2-CAN1-AWS-Out-Bytes,$0.098 per GB - Asia Pacific (Sydney) data transfer to Canada (Central),Amazon Elastic Compute Cloud,1.6620000000000008e-06,0.09795600820425775,1.6966800000000005e-05
72,APS2-CAN1-AWS-Out-Bytes,$0.098 per GB - Asia Pacific (Sydney) data transfer to Canada (Central),Amazon Simple Storage Service,2.5908999999999718e-05,0.09833585476550508,0.00026347460000000175
73,APS2-CW:AlarmMonitorUsage,$0.00 per alarm metric month - first 10 alarm metrics,AmazonCloudWatch,0.0,0.0,0.8387096783999997
74,APS2-CW:AlarmMonitorUsage,$0.10 per alarm metric month (standard resolution) - Asia Pacific (Sydney),AmazonCloudWatch,1.2264000701999977,0.09999999831457954,12.264000908699959
75,APS2-CW:GMD-Metrics,"$0.01 per 1,000 metrics requested using GetMetricData API - Asia Pacific (Sydney)",AmazonCloudWatch,3.70308,9.999999999999999e-06,370308.0
76,APS2-CW:MetricMonitorUsage,"$0.30 per metric-month for the first 10,000 metrics - Asia Pacific (Sydney)",AmazonCloudWatch,7.437903225800001,0.2999999999959667,24.793010752999997
77,APS2-CW:Requests,"$0.01 per 1,000 requests",AmazonCloudWatch,0.10246000000000001,1e-05,10246.0
78,APS2-Catalog-Request,$0 for AWS Glue Data Catalog requests under the free tier,AWS Glue,0.0,0.0,96999.0
79,APS2-Catalog-Storage,$0 for AWS Glue Data Catalog storage under the free tier,AWS Glue,0.0,0.0,7055.479838706508
80,APS2-CloudFront-In-Bytes,$0.00 per GB data transfer in to Asia Pacific (Sydney) from CloudFront,Amazon Elastic Compute Cloud,0.0,0.0,0.4137364495000012
81,APS2-CloudFront-Out-Bytes,$0.00 per GB data transfer out of Asia Pacific (Sydney) to CloudFront,Amazon Elastic Compute Cloud,0.0,0.0,0.17945888209999994
82,APS2-ConfigRuleEvaluations,"$0.001 for the first 100,000 evaluations in Asia Pacific (Sydney) region",AWS Config,8.845999999999998,0.0009999999999999998,8846.0
83,APS2-ConfigurationItemRecorded,$0.003 per  Configuration Item recorded in Asia Pacific (Sydney) region,AWS Config,74.87100000000004,0.0030000000000000014,24957.0
84,APS2-DataEventsRecorded,0.000001 per data event recorded in Asia Pacific (Sydney) region,AWS CloudTrail,43.03808400000001,1.0000000000000004e-06,43038084.0
85,APS2-DataProcessing-Bytes,$0.008 per GB Data Processed by the LoadBalancer,Amazon Elastic Compute Cloud,0.017010841199999974,0.007999994724497141,2.1263565522000056
86,APS2-DataProcessing-Bytes,First 5GB per month of log data ingested is free.,AmazonCloudWatch,0.0,0.0,3.5171761291
87,APS2-DataScannedInTB,Data scanned per query in Terabytes,Amazon Athena,0.19359500000000004,5.000000000000001,0.038719
88,APS2-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,AWS Lambda,0.0,0.0,1.2362259795
89,APS2-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon DynamoDB,0.0,0.0,8.093900000000016e-06
90,APS2-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon Elastic Compute Cloud,0.0,0.0,13.995863756999995
91,APS2-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon Relational Database Service,0.0,0.0,0.00880802900000005
92,APS2-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon Simple Notification Service,0.0,0.0,3.33733e-05
93,APS2-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon Simple Storage Service,0.0,0.0,1.1473119116999997
